Gender,Team tier,Team,Rider,Nationality,Age,Date of birth,Place of birth,Height (m),Weight (kg),Wins,UCI rank,Top result 1,Top result 2,Top result 3,Previous team 1,Previous team 2,Previous team 3,Previous team 4,Previous team 5,Previous team 6,Previous team 7,Previous team 8,Previous team 9,Previous team 10,Previous team 11,Previous team 12,Previous team 13,Previous team 14,Specialty 1,Specialty 2
M,PT,Bardiani CSF 7 Saber,CETTOLIN Filippo,Italy,19,23 June 2006,Treviso,,,0,,4th stage Baku-Khankendi Azerbaijan Cycling race ('26),7th stage Baku-Khankendi Azerbaijan Cycling race ('26),6th Velika Nagrada Novega Mesta ('26),VF Group - Bardiani CSF - Faizanè,Borgo Molino Vigna Fiorita,,,,,,,,,,,,,Sprint,
M,PT,Bardiani CSF 7 Saber,COLNAGHI Luca,Italy,27,14 January 1999,Lecco,1.71,63,1,,Giro della Città Metropolitana di Reggio Calabria ('25),2x stage Giro Ciclistico d'Italia ('20),2nd stage Tour de Slovaquie ('22),VF Group - Bardiani CSF - Faizanè,Green Project - Bardiani CSF - Faizanè,Bardiani-CSF-Faizanè,UC Trevigiani - Campana Imballaggi,Zalf Euromobil Désirée Fior,Team Colpack,Sangemini - MG.Kvis,Ciclistica Biringhello,,,,,,,Sprint,
M,PT,Bardiani CSF 7 Saber,CONFORTI Lorenzo,Italy,22,22 May 2004,Monsummano Terme,,,0,,2nd stage Tour of Taihu Lake ('23),2nd GP Goriška & Vipava Valley ('24),2nd Trofej Poreč - Poreč Trophy ('24),VF Group - Bardiani CSF - Faizanè,Green Project - Bardiani CSF - Faizanè,Team Work Service Speedy Bike,G.S. Stabbia,,,,,,,,,,,Sprint,
M,PT,Bardiani CSF 7 Saber,COVILI Luca,Italy,29,10 February 1997,Pavullo nel Frignano,1.80,63,0,,4th GC Adriatica Ionica Race / Sulle Rotte della Sereniss ('22),7th GC Tour de Langkawi ('25),5th GC Baku-Khankendi Azerbaijan Cycling race ('26),VF Group - Bardiani CSF - Faizanè,Green Project - Bardiani CSF - Faizanè,Bardiani-CSF-Faizanè,Bardiani - CSF,Amore & Vita - Selle SMP presented by FONDRIEST,Noceto Nial Cycling Team,,,,,,,,,GC,
M,PT,Bardiani CSF 7 Saber,CRUZ Edward,Colombia,19,5 July 2006,Bogotà,,,0,,6th KOM Giro Ciclistico della Valle d'Aosta - Mont Blanc ('25),15th stage Giro Ciclistico della Valle d'Aosta - Mont Blanc ('25),18th KOM Tour de Langkawi ('25),VF Group - Bardiani CSF - Faizanè,Vangi Sama Ricambi Il Pirata,,,,,,,,,,,,,Hills,
M,PT,Bardiani CSF 7 Saber,FERRARO Santiago,Italy,19,20 September 2006,Cerveteri,,,0,,5th Trofeo Città di Castelfidardo ('25),21st Trofeo Città di Castelfidardo ('26),21st Rhodes GP ('26),VF Group - Bardiani CSF - Faizanè,Work Service Team Coratti,Team Coratti,,,,,,,,,,,,Oneday,
M,PT,Bardiani CSF 7 Saber,HERREÑO Martin Santiago,Colombia,19,13 September 2006,Bogotá,,,0,,2nd Milano - Rapallo ('25),12th GC Tour de Langkawi ('25),14th stage Tour de Langkawi ('25),VF Group - Bardiani CSF - Faizanè,Team F.lli Giorgi ASD,,,,,,,,,,,,,GC,
M,PT,Bardiani CSF 7 Saber,MAGLI Filippo,Italy,27,29 April 1999,Empoli,,,0,,Muur Classic Geraardsbergen ('23),3rd GC Tour of Hainan ('24),4th Gran Piemonte ('24),VF Group - Bardiani CSF - Faizanè,Green Project - Bardiani CSF - Faizanè,Bardiani-CSF-Faizanè,Mastromarco Sensi Nibali,G.S. Stabbia,,,,,,,,,,Hills,
M,PT,Bardiani CSF 7 Saber,MANENTI Marco,Italy,23,7 September 2002,Bergamo,,,1,,stage Baku-Khankendi Azerbaijan Cycling race ('26),Trofeo Città di Castelfidardo ('26),stage Giro della Regione Friuli Venezia Giulia ('25),Team Hopplà,Hopplà - Petroli Firenze - Don Camillo,Solme - Imesa - Olmo,Velo Plus Racing Team Palazzago,Massi Supermercati,Ciclistica Trevigliese,,,,,,,,,Hills,
M,PT,Bardiani CSF 7 Saber,MARCELLUSI Martin,Italy,26,5 April 2000,Rome,1.72,62,0,,2nd Trofeo Serra Tramuntana ('25),Trofeo Piva ('22),2nd La Roue Tourangelle ('26),VF Group - Bardiani CSF - Faizanè,Green Project - Bardiani CSF - Faizanè,Bardiani-CSF-Faizanè,Mastromarco Sensi Nibali,Velo Racing Palazzago,Il Pirata Sicilia Cicli Campagnaro,Il Pirata IP Zannoni - Multicar Amaru,,,,,,,,Hills,
M,PT,Bardiani CSF 7 Saber,MARTINELLI Alessio,Italy,25,26 April 2001,Sondalo,,,0,,Grand Prix Alanya ('22),Gran Premio Industrie del Marmo ('22),stage Carpathian Couriers Race in memory of Wacław Felcz ('22),VF Group - Bardiani CSF - Faizanè,Green Project - Bardiani CSF - Faizanè,Bardiani-CSF-Faizanè,Team Colpack Ballan,Team F.lli Giorgi ASD,,,,,,,,,,Climber,
M,PT,Bardiani CSF 7 Saber,MONTAGNER Andrea,Italy,20,15 February 2006,,,,0,,10th stage Alpes Isère Tour ('26),13th stage Alpes Isère Tour ('26),13th stage Baku-Khankendi Azerbaijan Cycling race ('26),VF Group - Bardiani CSF - Faizanè,Borgo Molino Vigna Fiorita,,,,,,,,,,,,,Sprint,
M,PT,Bardiani CSF 7 Saber,PALETTI Luca,Italy,21,5 June 2004,Reggio nell'Emilia,,,0,,4th stage Tour of the Alps ('26),7th Giro dell'Appennino ('26),9th Giro dell'Appennino ('25),VF Group - Bardiani CSF - Faizanè,Green Project - Bardiani CSF - Faizanè,Team Ciclistico Paletti,,,,,,,,,,,,Climber,
M,PT,Bardiani CSF 7 Saber,PINAZZI Mattia,Italy,25,4 April 2001,Colorno,,,0,,Circuito del Porto - Trofeo Arvedi ('23),stage Istarsko Proljeće - Istrian Spring Trophy ('24),2nd Circuito del Porto - Trofeo Arvedi ('22),VF Group - Bardiani CSF - Faizanè,Arvedi Cycling,Biesse Arvedi,GS Aspiratori Otelli,,,,,,,,,,,Sprint,
M,PT,Bardiani CSF 7 Saber,ROJAS Vicente,cl,24,30 April 2002,Santiago,,,1,,Pan-American Championships MU - Road Race ('23),National Championships Chile ME - Road Race ('26),2nd GC Giro del Sol San Juan ('23),VF Group - Bardiani CSF - Faizanè,Green Project - Bardiani CSF - Faizanè,Supermercados Froiz,Swift Carbon Pro Cycling Brasil,,,,,,,,,,,Oneday,
M,PT,Bardiani CSF 7 Saber,ROSTOVTSEV Sergey,uz,29,2 June 1997,Tula,1.80,73,0,,Grand Prix Apollon Temple ('23),Grand Prix Boukraa ('23),Grand Prix El Marsa ('23),Shenzhen Kung Cycling Team,Sakarya BB Pro Team,Beykoz Belediyesi Spor Kulübü,Vozrozhdenie,Minsk Cycling Club,,,,,,,,,,Sprint,
M,PT,Bardiani CSF 7 Saber,STENICO Mattia,Italy,19,26 September 2006,Trento,,,0,,18th GC Alpes Isère Tour ('26),19th stage Alpes Isère Tour ('26),27th stage Alpes Isère Tour ('26),VF Group - Bardiani CSF - Faizanè,Team F.lli Giorgi ASD,,,,,,,,,,,,,,
M,PT,Bardiani CSF 7 Saber,TAROZZI Manuele,Italy,27,20 June 1998,Faenza,,,3,,stage Tour de Langkawi ('24),stage Tour of Qinghai Lake ('24),stage Tour du Rwanda ('23),VF Group - Bardiani CSF - Faizanè,Green Project - Bardiani CSF - Faizanè,Bardiani-CSF-Faizanè,Androni Giocattoli - Sidermec,#inEmiliaRomagna Cycling Team,Italia Nuova Borgo Panigale,,,,,,,,,GC,
M,PT,Bardiani CSF 7 Saber,TOLIO Alex,Italy,26,30 March 2000,Bassano del Grappa,,,0,,6th GC Tour of Magnificent Qinghai ('25),3rd Due Giorni Marchigiana - G.P. Santa Rita ('25),3rd Ruota d'Oro - GP Festa del Perdono ('22),VF Group - Bardiani CSF - Faizanè,Green Project - Bardiani CSF - Faizanè,Bardiani-CSF-Faizanè,Zalf Euromobil Fior,Casillo - Petroli Firenze - Hopplà,Zalf Euromobil Désirée Fior,,,,,,,,,GC,
M,PT,Bardiani CSF 7 Saber,TSVETKOV Nikita,uz,21,14 February 2005,Moscow,1.81,67,2,,GC Grand Prix Fergana ('26),"2x National Championships Uzbekistan ME - ITT ('25, '24)",2x stage Tour of Bostonliq ('25),Team Solution Tech - Vini Fantini,OU7 Cycling Team,Tashkent City Professional Cycling Team,Team Culture Velo U19,Cannibal Team,,,,,,,,,,Sprint,
M,PT,Bardiani CSF 7 Saber,TURCONI Filippo,Italy,20,20 October 2005,Varese,,,0,,Giro del Medio Brenta ('25),Trofeo Piva ('25),2nd Giro della Provincia di Biella - Torino-Biella ('25),VF Group - Bardiani CSF - Faizanè,Bustese Olonia ASD,,,,,,,,,,,,,Hills,
M,PT,Bardiani CSF 7 Saber,TURCONI Matteo,Italy,18,8 July 2007,Busto Arsizio,1.85,67,0,,33rd stage Presidential Cycling Tour of Türkiye ('26),49th stage Presidential Cycling Tour of Türkiye ('26),,Bustese Olonia ASD,,,,,,,,,,,,,,,
M,PT,Bardiani CSF 7 Saber,ZANONCELLO Enrico,Italy,28,2 August 1997,Isola della Scala,1.70,64,4,,stage Tour of Qinghai Lake ('23),stage Tour of Taihu Lake ('23),2nd GC Tour of Taihu Lake ('23),VF Group - Bardiani CSF - Faizanè,Green Project - Bardiani CSF - Faizanè,Bardiani-CSF-Faizanè,Cofidis,Zalf Euromobil Désirée Fior,Team Colpack,,,,,,,,,Sprint,
M,PT,Burgos Burpellet BH,ALLENO Clément,France,25,8 October 2000,Saint-Brieuc,1.80,69,0,,GC Tour of Mentougou ('25),stage Tour of Mentougou ('25),5th Prueba Villafranca - Ordiziako Klasika ('25),Burgos - BH,Dinan Sport Cycling,VC Pays de Loudéac,CC Uzelais,,,,,,,,,,,Hills,
M,PT,Burgos Burpellet BH,APARICIO Mario,Spain,26,23 April 2000,Aranda de Duero,1.85,69,1,,stage Tour of Qinghai Lake ('24),"2x stage Tour of Sharjah ('25, '24)",5th GC Tour of Qinghai Lake ('24),Burgos - BH,MMR Academy,,,,,,,,,,,,,GC,
M,PT,Burgos Burpellet BH,BOUGLAS Georgios,gr,35,17 November 1990,Trikala,1.81,71,7,,"2x stage Tour of Qinghai Lake ('19, '18)","3x National Championships Greece ME - Road Race ('23, '22, '14)",stage Tour of Japan ('23),Burgos - BH,Matrix Powertag,Spor Toto Cycling Team,Salcano Sakarya BB Team,SSOIS Miogee Cycling Team,Ningxia Sports Lottery - Livall Cycling Team,Ningxia Sports Lottery - Livall Cycling team,China Continental Team of Gansu Bank,SP Tableware,Gios - Deyser Leon Kastro,KTM-Murcia,Heraklion Kastro-Murcia,Heraklion - Nessebar,,Sprint,
M,PT,Burgos Burpellet BH,BURNETT Josh,New Zealand,25,26 October 2000,Invercargill,1.87,71,2,,GC Baku-Khankendi Azerbaijan Cycling race ('26),GC Tour de Beauce ('24),stage Baku-Khankendi Azerbaijan Cycling race ('26),MitoQ - NZ Cycling Project,Bolton Equities Black Spoke,,,,,,,,,,,,,GC,
M,PT,Burgos Burpellet BH,CAVIA Daniel,Spain,24,2 June 2002,Laguna de Duero,1.69,63,2,,GC Tour of Huangshan ('25),stage Tour of Huangshan ('25),2nd stage Tour of Hainan ('26),Club Ciclista Padronés - Cortizo,Equipo Gomur,,,,,,,,,,,,,Hills,
